Station,Longitude,Latitude
16379,-73.326817,30.073554
16384,-74.685144,30.346797
16672,-71.560344,30.177526
16673,-72.42665,30.55531
16674,-73.984026,30.610936
16677,-75.327428,30.694426
16928,-68.953586,29.077244
16929,-69.846819,29.441034
16930,-70.707285,29.805957
16936,-75.930312,30.744021
17158,-69.029943,29.911694
17364,-69.12924,30.684653
17365,-69.155383,31.416245
17381,-77.416785,31.078056
17382,-76.971821,31.222507
17567,-69.101933,32.145869
17587,-77.819244,31.107843
17771,-69.038249,32.881924
17796,-77.987276,31.369885
17973,-68.979912,33.596906
18001,-78.508123,31.243225
18002,-78.283745,31.401391
18182,-68.876577,34.289812
18216,-78.735715,31.372487
18411,-68.731383,34.999502
18450,-78.92462,31.500678
18674,-69.396575,36.162712
18675,-70.142064,36.521166
18676,-70.935354,36.86044
18714,-79.131517,31.42941
18972,-71.404036,37.361264
19015,-79.28673,31.555721
19037,-79.471221,31.497832
19294,-71.732769,37.684416
19370,-79.605554,31.595768
19644,-71.953479,37.874947
19663,-72.183058,37.917635
19734,-79.751999,31.544875
20029,-72.355433,38.104839
20108,-79.89213,31.511568
20414,-72.649653,38.181875
20503,-79.976581,31.600072
20818,-72.789111,38.351972
20922,-80.088218,31.580214
21221,-72.982489,38.331334
21340,-80.173277,31.572043
21626,-73.059429,38.455482
21756,-80.240759,31.61205
22040,-73.193937,38.476988
22043,-73.26143,38.60188
22182,-80.321942,31.66107
22451,-73.418076,38.606511
22596,-80.50929,31.666944
22597,-80.409728,31.715515
22868,-73.486349,38.722325
23025,-80.602827,31.709895
23290,-73.633979,38.730534
23461,-80.751452,31.703547
23462,-80.686529,31.740557
23726,-73.736436,38.780648
23910,-80.79824,31.732906
24165,-73.785951,38.864476
24339,-80.850997,31.734168
24571,-73.872681,38.921311
24728,-80.910766,31.740369
24941,-73.953556,38.880794
25085,-80.965198,31.752797
25293,-74.047406,38.907608
25295,-74.079676,39.000824
25389,-81.010968,31.77535
25598,-74.180719,39.031218
25870,-74.278152,39.066787
26139,-74.329833,39.125549
26409,-74.395812,39.147447
26685,-74.471064,39.172956
26956,-74.541909,39.201886
